Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, fruits and vegetables                       , _BinaryCLF                                                                        ,           ,  0.376623  ,    0.823529 , 0.4       , 0.538462  ,           ,                                                                          ,
," nuts, nut products and seeds                ", _BinaryCLF                                                                        ,           ,  0.5       ,    0.72     , 0.4       , 0.514286  ,           ,                                                                          ,
, cereals and bakery products                 , _BinaryCLF                                                                        ,           ,  0.848101  ,    0.941176 , 0.888889  , 0.914286  ,           ,                                                                          ,
, fish and fish products                      , _BinaryCLF                                                                        ,           ,  0.6375    ,    0.423077 , 0.44      , 0.431373  ,           ,                                                                          ,
, meat and meat products (other than poultry) , _BinaryCLF                                                                        ,           ,  0.105263  ,    1        , 0.0684932 , 0.128205  ,           ,                                                                          ,
, herbs and spices                            , _BinaryCLF                                                                        ,           ,  0.443038  ,    0.636364 , 0.28      , 0.388889  ,           ,                                                                          ,
, cereals                                     , _BinaryCLF                                                                        ,           ,  0.632911  ,    0.689655 , 0.784314  , 0.733945  ,           ,                                                                          ,
, poultry meat and poultry meat products      , _BinaryCLF                                                                        ,           ,  0.917808  ,    0.971014 , 0.943662  , 0.957143  ,           ,                                                                          ,
, crustaceans and products thereof            , _BinaryCLF                                                                        ,           ,  0.721519  ,    0.25     , 0.285714  , 0.266667  ,           ,                                                                          ,
, bovine                                      , _BinaryCLF                                                                        ,           ,  0.657895  ,    0.807692 , 0.724138  , 0.763636  ,           ,                                                                          ,
