Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-test                                     ,           ,  0.486842  ,    0.913043 , 0.362069  , 0.518519  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.776316  ,    0.780822 , 0.982759  , 0.870229  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.776316  ,    0.780822 , 0.982759  , 0.870229  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.776316  ,    0.788732 , 0.965517  , 0.868217  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  , 0.5       ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  , 0.5       ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob                                                ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  , 0.5       ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   , 0.5       ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   , 0.5       ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob                                                ,           ,  0.661765  ,    0.661765 , 1         , 0.79646   , 0.5       ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  , 0.5       ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  , 0.5       ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0886076 ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob                                                ,           ,  0.911392  ,    0.911392 , 1         , 0.953642  , 0.5       ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   , 0.381818  ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   , 0.381818  ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.5625    ,    0        , 0         , 0         ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.3125    ,    0.3125   , 1         , 0.47619   , 0.381818  ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  , 0.547945  ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  , 0.547945  ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0394737 ,    0        , 0         , 0         ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob                                                ,           ,  0.960526  ,    0.960526 , 1         , 0.979866  , 0.547945  ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.632911  ,    0.632911 , 1         , 0.775194  , 0.339655  ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.632911  ,    0.632911 , 1         , 0.775194  , 0.339655  ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.303797  ,    0.142857 , 0.02      , 0.0350877 ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.632911  ,    0.632911 , 1         , 0.775194  , 0.339655  ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  , 0.402661  ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  , 0.402661  ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.35443   ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob                                                ,           ,  0.64557   ,    0.64557  , 1         , 0.784615  , 0.402661  ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  , 0.0774648 ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  , 0.0774648 ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0273973 ,    0        , 0         , 0         ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  , 0.0774648 ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.367089  ,    0.153846 , 0.571429  , 0.242424  , 0.525275  ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.316456  ,    0.142857 , 0.571429  , 0.228571  , 0.525275  ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.759494  ,    0        , 0         , 0         ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.202532  ,    0.181818 , 1         , 0.307692  , 0.525275  ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.539474  ,    0.810811 , 0.517241  , 0.631579  , 0.354406  ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.526316  ,    0.775    , 0.534483  , 0.632653  , 0.354406  ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.223684  ,    0.333333 , 0.0172414 , 0.0327869 ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.723684  ,    0.784615 , 0.87931   , 0.829268  , 0.354406  ,                                                                          ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.691176  ,    0.6875   , 0.977778  , 0.807339  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.691176  ,    0.6875   , 0.977778  , 0.807339  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, fish and fish products                      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.6375    ,    0.458333 , 0.88      , 0.60274   ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, fish and fish products                      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, fish and fish products                      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, fish and fish products                      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.7375    ,    0.583333 , 0.56      , 0.571429  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, fish and fish products                      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.65      ,    0.468085 , 0.88      , 0.611111  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
