Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, fruits and vegetables                       , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.909091  ,    0.909091 , 1         , 0.952381  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
, fruits and vegetables                       , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.935065  ,    0.933333 , 1         , 0.965517  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.691176  ,    0.6875   , 0.977778  , 0.807339  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.691176  ,    0.6875   , 0.977778  , 0.807339  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
," nuts, nut products and seeds                ", <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.75      ,    0.741379 , 0.955556  , 0.834951  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>_Cerceira       ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x789c2ec8ec50>       ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>_Cerceira    ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x789c2e633130>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>_Cerceira   ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x789c2e6584f0>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>_Cerceira   ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x789c2e632bc0>   ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>_Cerceira    ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x789c2e658fd0>    ,
, cereals and bakery products                 , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>_Cerceira     ,           ,  0.898734  ,    0.910256 , 0.986111  , 0.946667  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x789c2e601f60>     ,
, fish and fish products                      , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0>_Cerceira ,           ,  0.6375    ,    0.458333 , 0.88      , 0.60274   ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x789c2e6033d0> ,
